Jeg er i fængslet.	I'm at the prison.
Må jeg kysse dig?	Can I kiss you?
Han er håbløst forelsket.	He's hopelessly in love.
Mine brødre!	My brothers!
Har du en computer?	Do you own a computer?
Hvem var den pige?	Who was that girl?
Tom vil ikke lytte.	Tom won't listen.
Hun drikker ikke kaffe.	She doesn't drink coffee.
Tom ville gøre alt for at beskytte Mary.	Tom would do anything to protect Mary.
Strandsandet var hvidt.	The sand on the beach was white.
Folk har en tendens til at undervurdere deres fremtidige behov.	People have a tendency to underestimate their future needs.
DNA-tests viste at han var uskyldig.	DNA tests showed he was innocent.
Ild er meget farlig.	Fire is very dangerous.
Døde hunde kan ikke bide.	Dead dogs can't bite.
Jeg vandt over ham i skak.	I beat him at chess.
Tom ligner dig.	Tom looks like you.
Sami hader katte.	Sami hates cats.
Kan I lide at skrive?	Do you guys like writing?
Folk siger ofte at japansk er et vanskeligt sprog.	People often say that Japanese is a difficult language.
Jeg kan overhovedet ikke svømme.	I can't swim at all.
Du slog mig næsten ihjel.	You almost killed me.
Så, kommer du sammen med nogen?	So, are you seeing anyone?
Jeg savner dig.	I miss you.
Tom sagde at han ville være villig til at gøre det gratis.	Tom said that he'd be willing to do that for free.
Han lignede ikke en klog dreng.	He didn't look like a clever boy.
Denne kat er så stor som den der.	This cat is as big as that one.
Han er tiltrukket af asiatiske piger.	He's attracted to Asian girls.
Jeg er ved at lave mine lektier.	I'm busy with my homework.
Han har problemer.	He is in trouble.
Det sorte er mit.	The black one is mine.
Ingen læser om mit land.	Nobody reads about my country.
Jeg har intet bestemt at sige.	I don't have anything particular to say.
Tom kan ikke spise svinekød.	Tom can't eat pork.
Alting har to sider. Fanatikere ser kun én.	Everything has two sides. Fanatics only see one.
Tom fandt dine nøgler.	Tom found your keys.
Du kan ikke hypnotisere mig.	You can't hypnotize me.
Han er langt mere erfaren end mig.	He's far more experienced than me.
Hvis det regner i morgen, så skipper jeg mødet.	If it rains tomorrow, I'm not going to the meeting.
"Det Gamle Testamente" er Bibelens første del.	"The Old Testament" is the first part of the Bible.
Det kommer ikke dig ved.	It's none of your business.
Sami takkede Layla for hendes undskyldning.	Sami thanked Layla for her apology.
Det er bedre, ikke sandt?	That's better, isn't it?
Jeg har altid godt kunnet lide bjergene.	I have always liked the mountains.
Han kan lide at tale udenom.	He likes to beat around the bush.
En mand der taler sandt, har brug for en hurtig hest.	A man who speaks the truth needs a fast horse.
Jeg ser frem til det.	I look forward to it.
Hun kommer måske.	She might come.
Kan jeg hjælpe dig på nogen måde?	Can I help you in any way?
Jeg kan lide ørredfiskeri.	I like trout fishing.
Har De noget der er billigere?	Do you have anything cheaper?
Mor står og laver mad i køkkenet.	Mother is cooking in the kitchen.
Jeg tror ikke at dit navn er Tom.	I don't think your name's Tom.
Jeg var meget glad.	I was very happy.
Toms drøm er at bo i en lille by, i Sydfrankrig.	Tom's dream is to live in a small town in the south of France.
Jeg ved at Tom er forelsket i Mary.	I know that Tom is in love with Mary.
Dø ikke.	Don't die.
I dag er det skyet.	It is cloudy today.
Han er ravende skør.	He is as nutty as a fruitcake.
Tom og Mary fyldte balloner med vand og kastede dem ud fra balkonen ned på intetanende fodgængere der gik på fortovet nedenfor.	Tom and Mary filled balloons with water, and dropped them from the balcony down onto unsuspecting pedestrians walking on the pavement below.
Jeg går. Vi ses i morgen.	I'm leaving. See you tomorrow.
"Hvad er hun?" "Hun er lærer."	"What is she?" - "She's a teacher."
Denne fugl kan flyve.	This bird can fly.
Næste dag blev han fundet død i soveværelset.	The following day he was found dead in the bedroom.
Se, det er et fly fra Urumqi.	Look, it's the plane from Urumqi.
Jeg elsker naturen.	I love nature.
Hvor skilte du dem ad?	Where did you disassemble them?
Sådan er livet.	Shit happens.
Jeg straffede ham.	I punished him.
Jeg tror det regner i morgen.	I think it'll rain tomorrow.
Jeg tager næsten hver dag til stranden.	I go to the beach almost every day.
"Lad os gå ind i skoven sammen," sagde ulven til lammet. - "Okay, onkel Ulv," svarede lammet.	"Let's go together to the forest," the wolf said to the lamb. - "Ok, Uncle Wolf," the lamb replied.
Du må prøve butikken på den anden side af vejen.	You'll have to try the store across the street.
Skibet er på vej til Finland.	The ship is bound for Finland.
Sara har enogtredive kuglepenne.	Sara has thirty-one ballpoint pens.
Jeg skrev ikke brevet.	I didn't write the letter.
Hun så på mig med et frækt blik.	She gave me a sexy look.
Hold fingrene krydsede for mig!	Keep your fingers crossed for me!
Det virker fuldstændig latterligt.	It seems absolutely ridiculous.
Vi har lejet lejligheden.	We rented the apartment.
Der findes ingen dumme spørgsmål.	There are no stupid questions.
Denne støvsuger er meget støjende.	This vacuum cleaner makes a lot of noise.
Hr. Gorbatjov, riv denne mur ned!	Mr Gorbachev, tear down this wall!
Tom åbnede sin rygsæk.	Tom opened his backpack.
Han har giftet sig med en stewardesse.	He married a stewardess.
Jeg elsker sådan nogle øjeblikke.	I love such moments.
Tom ved ikke hvor Mary gik hen.	Tom doesn't know where Mary went.
Jeg hader jobsamtaler.	I hate interviews.
Jeg er Toms ven.	I'm Tom's friend.
Far arbejder.	Daddy's working.
Hvor kogte du dem?	Where did you boil them?
Har du noget håb for fremtiden?	Do you have any hope for the future?
Jeg kommer hjem i morgen.	I'll return home tomorrow.
Jeg tror hun er 40 år.	I think she's 40 years old.
John og Eva er bedste venner.	John and Eva are best friends.
Tom er maniodepressiv.	Tom is bipolar.
Tom er ikke Marys ven.	Tom isn't Mary's friend.
Hvorfor opholder Tom sig i Boston?	Why's Tom staying in Boston?
Det er første gang nogensinde jeg har talt dansk.	This is the first time I've ever spoken in Danish.
Er det langt til Tallinn?	Is it a long way to Tallinn?
Du tilføjer korte eksempler.	You add short examples.
Pigen tror stadig på julemanden.	The girl still believes in Santa Claus.
Hvad er dit telefonnummer?	What is your phone number?
Stikker disse insekter?	Do these insects sting?
I Danmark er der ingen gule postkasser.	In Denmark, there aren't any yellow postboxes.
Du kan ikke se skoven for bare træer.	You can't see the forest for the trees.
Jeg har allerede læst dagens avis.	I've already read today's paper.
Han kan knap nok læse.	He can barely read.
Der står tre mænd og venter på dig udenfor.	There are three men waiting for you outside.
Forrige nat skrev jeg et brev.	I wrote a letter last night.
Tom læste Marys kropssprog.	Tom read Mary's body language.
I går hørte jeg en smuk sang.	Yesterday I heard a beautiful song.
Hendes far døde sidste år.	Her father died last year.
De æbler er meget store.	These are very big apples.
Det var bare noget jeg sagde for sjov.	I'm just kidding.
Min hund løb væk.	My dog ran away.
Der er to elever fraværende i dag.	Two students are absent today.
CIA overvåger jer.	The CIA is watching you.
Tom er kryptofascist.	Tom is a crypto-fascist.
Jeg skrællede æblet.	I peeled the apple.
Tom blev dyppet i tjære og rullet i fjer af folkemængden.	Tom was tarred and feathered by the crowd.
"Din plan duer slet ikke." "Ha, så nu er det "min" plan!"	Your plan's no good. - Ha, so now it's "my" plan!
Hans hus er omgivet af træer.	His house is surrounded by trees.
Tom er tydeligvis en god lærer.	Tom is obviously a good teacher.
Tom arbejder i en bank.	Tom is working at a bank.
Hvem er den dreng?	Who is that boy?
Skynd jer at få et værelse!	Get a room already!
Hun er sin egen direktør.	She's her own boss.
Det skete omkring kl. halv fem.	It happened at about half past four.
Jeg vidste ikke hvad jeg skulle sige til Tom.	I didn't know what I should say to Tom.
Tom åbnede døren i passagersiden.	Tom opened the passenger's door.
Det er på høje tid at komme i seng.	It's high time for bed.
Hold op med at stjæle mine sætninger!	Stop stealing my sentences.
Hun er aldrig online, ikke en gang i hendes ferie.	She is never online, even during her vacation.
Han har to hunde.	He has two dogs.
Jeg var ret afslappet.	I was pretty relaxed.
Der er vores bus.	There's our bus.
Linjen er optaget.	The line is busy.
Marys kat behøver kun at hvæse én gang for at jage naboernes hunde på flugt.	Mary's cat needs to hiss only once, to scare away the neighbours' dogs.
Hvis du ikke ved hvad et ord betyder, så slå det op i en ordbog.	If you don't know what a word means, look it up in a dictionary.
Jeg spekulerer på hvorfor han ikke spiste æblet der faldt på hans hoved.	I wonder why he didn't eat the apple that fell on his head.
Det træ nær floden er et valnødtræ.	That tree near the river is a walnut tree.
Du sier myggen fra og sluger en kamel.	You strain at a gnat and swallow a camel.
Jeg skriver til Erwan Le Bourdonnec.	I write to Erwan Le Bourdonnec.
Hun var forud for sin tid.	She was ahead of her time.
Hvad hedder denne blomst?	What is this flower called?
Han er ikke det værd.	He's not worth it.
Den er ikke for dyb.	It's not too deep.
Du underskrev ikke alle dokumenterne.	You didn't sign all the documents.
De har brug for mad og vand.	They need food and water.
Jiddisch skrives med det hebraiske alfabet.	Yiddish is written with the Hebrew alphabet.
Hun sang en sang.	She was singing a song.
Håb og tålmodighed fører til magt.	Hope and patience lead to power.
Min bedstefar har et meget godt helbred.	My grandfather is very healthy.
Jeg kunne ikke holde varmen ud.	I couldn't stand the heat.
Birken har hvid bark.	The birch has white bark.
Han ser slet ikke fjernsyn.	He doesn't watch TV at all.
Det er så sandelig tid for at "tørlægge sumpen" i Washington DC!	It is indeed time to 'drain the swamp' in Washington D.C.!
Han er uberegnelig.	He is erratic.
Jeg og Tom legede sammen i haven hele eftermiddagen.	Tom and I played in the backyard together all afternoon.
Han kommer herhen to gange om ugen.	He comes here twice a week.
Jeg kender hver en krog af byen.	I know every inch of the town.
De er jævnaldrende.	They are the same age.
Tom sagde at han havde brug for tolv æg.	Tom said he needed a dozen eggs.
Tom var den eneste som blev såret.	Tom was the only one who got hurt.
Jeg har ikke brug for dine penge.	I don't need your money.
I virkeligheden hedder jeg ikke Tom.	My name is not really Tom.
Hvad er et julemarked?	What is a Christmas market?
Jeg har tidligere været tjener.	I used to be a waiter.
Jeg er ikke en lebbe.	I'm not a lesbian.
Kan du lufte hunden?	Can you walk the dog?
Sami kommer til at rådne op i spjældet.	Sami is going to rot in jail.
Var der frisk brød i kassen?	Was there fresh bread in the box?
Jeg spurgte ham om han kendte hendes adresse.	I asked him if he knew her address.
Jeg bor i Hyogo.	I live in Hyogo.
Han sagde til mig: "Jeg læste denne bog i går."	He said to me, 'I read this book yesterday'.
Han mistede herredømmet over bilen i en rundkørsel og væltede om på taget.	He lost control with the car in a roundabout and it flipped.
Vi skyndte os til togstationen.	We hurried to the train station.
Hun ønskede at hjælpe hans venner.	She wanted to help his friends.
Jeg bad Tom møde mig ved togstationen.	I asked Tom to meet me at the train station.
Jeg oversætter sætninger på Tatoeba i min fritid.	I translate sentences on Tatoeba in my spare time.
Hvad er det du siger?	What are you saying?
Kan du hjælpe mig med at plante denne busk?	Can you help me plant this shrub?
Ja det sker af og til.	Yes, it happens from time to time.
Alle dyr er lige, men nogle dyr er mere lige end andre.	All animals are equal, but some animals are more equal than others.
Åbn dørene!	Open the doors.
Der findes mange alternativer til komælk, såsom gedemælk, mandelmælk, kokosmælk, sojamælk, hampemælk og rismælk.	There are many alternatives to cow milk, such as goat milk, almond milk, coconut milk, soy milk, hemp milk and rice milk.
Det vanskelige spørgsmål er hvor.	The difficult question is where.
Det er dit problem, ikke mit.	It's your problem, not mine.
Kan du lide ravioli?	Do you like ravioli?
Han prædiker for døve øren.	He preaches to deaf ears.
Tom kan endnu ikke svømme.	Tom is not yet able to swim.
Dette er mine principper. Hvis du ikke kan lide dem ..., så har jeg andre.	Those are my principles, and if you don't like them... well, I have others.
Jeg håber at det ikke vil regne i dag.	I hope it doesn't rain today.
Serveren er nede igen.	The server is down again.
Hvorfor er du så træt?	Why are you so tired?
Jeg hører stemmer i mit hoved.	I hear voices in my head.
Du behøver ikke svare på dette spørgsmål.	You don't have to answer this question.
Hun var behageligt overrasket.	She was pleasantly surprised.
Mange børn kan ikke lide grøntsager, men min lillebror elsker dem.	Many children don't like vegetables, but my little brother loves them.
